Wavelength	Actinic_flux	SIG	SIGNO3	PHINO3A	PHINO3B
2.80E+02	1.16E+13	3.98E-18	0	1	0
2.81E+02	2.12E+13	3.65E-18	0	1	0
2.82E+02	3.79E+13	3.25E-18	0	1	0
2.83E+02	4.63E+13	3.01E-18	0	1	0
2.84E+02	4.28E+13	2.68E-18	0	1	0
2.85E+02	2.52E+13	2.44E-18	0	1	0
2.86E+02	3.48E+13	2.23E-18	0	1	0
2.87E+02	5.23E+13	2.02E-18	0	1	0
2.88E+02	4.51E+13	1.76E-18	0	1	0
2.89E+02	5.70E+13	1.57E-18	0	1	0
2.90E+02	8.22E+13	1.41E-18	0	1	0
2.91E+02	9.05E+13	1.27E-18	0	1	0
2.92E+02	8.34E+13	1.10E-18	0	1	0
2.93E+02	7.94E+13	9.89E-19	0	1	0
2.94E+02	7.89E+13	8.62E-19	0	1	0
2.95E+02	7.83E+13	7.68E-19	0	1	0
2.96E+02	8.54E+13	6.63E-19	0	1	0
2.97E+02	7.15E+13	5.86E-19	0	1	0
2.98E+02	7.92E+13	5.07E-19	0	1	0
2.99E+02	7.11E+13	4.52E-19	0	1	0
3.00E+02	6.92E+13	3.89E-19	0	1	0
3.01E+02	7.02E+13	3.39E-19	0	1	0
3.02E+02	6.83E+13	3.00E-19	0	1	0
3.03E+02	9.34E+13	2.56E-19	0	1	0
3.04E+02	9.51E+13	2.35E-19	0	1	0
3.05E+02	9.86E+13	1.99E-19	0	1	0
3.06E+02	8.70E+13	1.77E-19	0	1	0
3.07E+02	9.35E+13	1.52E-19	0	1	0
3.08E+02	1.00E+14	1.36E-19	0	1	0
3.09E+02	9.02E+13	1.21E-19	0	1	0
3.10E+02	8.32E+13	1.02E-19	0	1	0
3.11E+02	1.19E+14	9.14E-20	0	1	0
3.12E+02	1.11E+14	7.73E-20	0	1	0
3.13E+02	1.09E+14	6.76E-20	0	1	0
3.14E+02	1.13E+14	6.01E-20	0	1	0
3.15E+02	1.09E+14	5.03E-20	0	1	0
3.16E+02	9.34E+13	4.56E-20	0	1	0
3.17E+02	1.18E+14	4.05E-20	0	1	0
3.18E+02	1.16E+14	3.52E-20	0	1	0
3.19E+02	1.13E+14	2.67E-20	0	1	0
3.20E+02	1.25E+14	3.06E-20	0	1	0
3.21E+02	1.24E+14	1.90E-20	0	1	0
