Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
2.80E+02	1.16E+13	7.29E-22	0.00E+00	2.44E-19	8.80E-19	2.79E-19
2.81E+02	2.12E+13	6.69E-22	0.00E+00	2.45E-19	8.28E-19	2.74E-19
2.82E+02	3.79E+13	6.14E-22	0.00E+00	2.46E-19	7.76E-19	2.70E-19
2.83E+02	4.63E+13	5.63E-22	0.00E+00	2.48E-19	7.26E-19	2.65E-19
2.84E+02	4.28E+13	5.15E-22	0.00E+00	2.49E-19	6.77E-19	2.60E-19
2.85E+02	2.52E+13	4.72E-22	0.00E+00	2.50E-19	6.30E-19	2.56E-19
2.86E+02	3.48E+13	4.31E-22	0.00E+00	2.48E-19	5.87E-19	2.51E-19
2.87E+02	5.23E+13	3.94E-22	1.11E-18	2.46E-19	5.46E-19	2.46E-19
2.88E+02	4.51E+13	3.59E-22	1.20E-18	2.44E-19	5.08E-19	2.41E-19
2.89E+02	5.70E+13	3.28E-22	1.20E-18	2.42E-19	4.73E-19	2.37E-19
2.90E+02	8.22E+13	2.99E-22	1.38E-18	2.40E-19	4.40E-19	2.32E-19
2.91E+02	9.05E+13	2.72E-22	1.60E-18	2.36E-19	4.09E-19	2.27E-19
2.92E+02	8.34E+13	2.48E-22	1.52E-18	2.32E-19	3.79E-19	2.22E-19
2.93E+02	7.94E+13	2.26E-22	1.82E-18	2.27E-19	3.51E-19	2.17E-19
2.94E+02	7.89E+13	2.05E-22	1.86E-18	2.23E-19	3.25E-19	2.12E-19
2.95E+02	7.83E+13	1.87E-22	2.03E-18	2.19E-19	3.00E-19	2.07E-19
2.96E+02	8.54E+13	1.71E-22	2.07E-18	2.13E-19	2.76E-19	2.03E-19
2.97E+02	7.15E+13	1.56E-22	2.39E-18	2.08E-19	2.54E-19	1.98E-19
2.98E+02	7.92E+13	1.43E-22	2.47E-18	2.02E-19	2.34E-19	1.93E-19
2.99E+02	7.11E+13	1.32E-22	2.64E-18	1.97E-19	2.16E-19	1.88E-19
3.00E+02	6.92E+13	1.22E-22	2.93E-18	1.91E-19	2.00E-19	1.84E-19
3.01E+02	7.02E+13	1.14E-22	2.50E-18	1.85E-19	1.87E-19	1.79E-19
3.02E+02	6.83E+13	1.08E-22	3.38E-18	1.79E-19	1.77E-19	1.75E-19
3.03E+02	9.34E+13	1.04E-22	3.09E-18	1.74E-19	1.67E-19	1.70E-19
3.04E+02	9.51E+13	1.01E-22	3.24E-18	1.68E-19	1.59E-19	1.66E-19
3.05E+02	9.86E+13	1.00E-22	4.12E-18	1.62E-19	1.50E-19	1.62E-19
3.06E+02	8.70E+13	1.02E-22	2.99E-18	1.57E-19	1.41E-19	1.58E-19
3.07E+02	9.35E+13	1.06E-22	3.85E-18	1.52E-19	1.31E-19	1.54E-19
