Wavelength	Actinic_flux	I2	IO	OIO	I2O2	I2O3	I2O4	I2O5	HOI	HI	INO2	INO3	Ibr	Icl	CH3I	CH2I2	CH2ICl	CH2IBr	C2H5I	nC3H7I	iC3H7I
2.80E+02	1.16E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	3.47E-17	7.70E-22	8.94E-20	9.96E-19	7.41E-18	2.11E-19	1.54E-19	2.92E-19	3.29E-18	1.04E-18	1.84E-18	3.35E-19	3.20E-19	6.14E-19
2.81E+02	2.12E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	3.27E-17	1.07E-21	8.36E-20	9.81E-19	7.31E-18	2.07E-19	1.48E-19	2.59E-19	3.37E-18	9.94E-19	1.77E-18	3.01E-19	2.87E-19	5.63E-19
2.82E+02	3.79E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	2.51E-17	1.37E-21	7.81E-20	9.66E-19	7.21E-18	2.02E-19	1.42E-19	2.30E-19	3.46E-18	9.48E-19	1.70E-18	2.70E-19	2.56E-19	5.15E-19
2.83E+02	4.63E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	2.45E-17	1.66E-21	7.30E-20	9.52E-19	7.11E-18	1.98E-19	1.36E-19	2.02E-19	3.54E-18	9.03E-19	1.64E-18	2.41E-19	2.29E-19	4.69E-19
2.84E+02	4.28E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	2.35E-17	1.96E-21	6.82E-20	9.37E-19	7.01E-18	1.94E-19	1.30E-19	1.78E-19	3.63E-18	8.57E-19	1.57E-18	2.15E-19	2.04E-19	4.26E-19
2.85E+02	2.52E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	2.18E-17	2.26E-21	6.37E-20	9.22E-19	6.91E-18	1.90E-19	1.24E-19	1.56E-19	3.72E-18	8.11E-19	1.50E-18	1.91E-19	1.81E-19	3.86E-19
2.86E+02	3.48E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	2.08E-17	2.99E-21	5.94E-20	9.00E-19	6.79E-18	1.85E-19	1.18E-19	1.37E-19	3.73E-18	7.66E-19	1.42E-18	1.69E-19	1.61E-19	3.49E-19
2.87E+02	5.23E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.98E-17	3.71E-21	5.55E-20	8.77E-19	6.67E-18	1.81E-19	1.12E-19	1.20E-19	3.75E-18	7.21E-19	1.34E-18	1.50E-19	1.43E-19	3.14E-19
2.88E+02	4.51E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.90E-17	4.44E-21	5.18E-20	8.55E-19	6.55E-18	1.77E-19	1.06E-19	1.05E-19	3.77E-18	6.75E-19	1.26E-18	1.33E-19	1.27E-19	2.82E-19
2.89E+02	5.70E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.81E-17	5.16E-21	4.83E-20	8.32E-19	6.43E-18	1.72E-19	1.00E-19	9.19E-20	3.79E-18	6.30E-19	1.18E-18	1.17E-19	1.12E-19	2.53E-19
2.90E+02	8.22E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.76E-17	5.89E-21	4.51E-20	8.10E-19	6.31E-18	1.68E-19	9.41E-20	8.04E-20	3.81E-18	5.85E-19	1.10E-18	1.03E-19	9.96E-20	2.26E-19
2.91E+02	9.05E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.68E-17	7.45E-21	4.21E-20	7.72E-19	6.20E-18	1.64E-19	9.08E-20	7.01E-20	3.79E-18	5.48E-19	1.05E-18	9.06E-20	8.82E-20	2.02E-19
2.92E+02	8.34E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.61E-17	9.01E-21	3.92E-20	7.34E-19	6.09E-18	1.59E-19	8.74E-20	6.10E-20	3.77E-18	5.11E-19	9.90E-19	7.96E-20	7.81E-20	1.81E-19
2.93E+02	7.94E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.55E-17	1.06E-20	3.66E-20	6.96E-19	5.99E-18	1.55E-19	8.41E-20	5.30E-20	3.75E-18	4.73E-19	9.35E-19	6.99E-20	6.92E-20	1.61E-19
2.94E+02	7.89E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.49E-17	1.21E-20	3.41E-20	6.58E-19	5.88E-18	1.50E-19	8.08E-20	4.60E-20	3.73E-18	4.36E-19	8.80E-19	6.13E-20	6.12E-20	1.44E-19
2.95E+02	7.83E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.77E-16	1.43E-17	1.37E-20	3.18E-20	6.20E-19	5.77E-18	1.46E-19	7.75E-20	4.00E-20	3.72E-18	3.99E-19	8.25E-19	5.38E-20	5.42E-20	1.28E-19
