R_no2	QNO2	X7O3	CSNO2a	CSNO2b	PHINO2
203	1.86E+12	3.26E-19	4.14E-19	0	1
205	2.28E+12	3.65E-19	4.48E-19	0	1
207	2.77E+12	4.32E-19	4.45E-19	0	1
209	4.63E+12	5.39E-19	4.64E-19	0	1
211	4.63E+12	6.93E-19	4.87E-19	0	1
214	8.57E+12	9.02E-19	4.82E-19	0	1
216	9.30E+12	1.18E-18	5.02E-19	0	1
218.5	1.16E+13	1.53E-18	4.44E-19	0	1
221	1.31E+13	1.99E-18	4.71E-19	0	1
223	1.66E+13	2.55E-18	3.77E-19	0	1
226	1.46E+13	3.22E-18	3.93E-19	0	1
228	1.44E+13	4.01E-18	2.74E-19	0	1
231	1.66E+13	4.90E-18	2.78E-19	0	1
234	1.45E+13	5.90E-18	1.69E-19	0	1
236.5	1.65E+13	6.97E-18	1.62E-19	0	1
239.5	1.47E+13	8.07E-18	8.81E-20	0	1
242.5	2.22E+13	9.15E-18	7.47E-20	0	1
245.5	2.00E+13	1.01E-17	3.91E-20	0	1
248.5	2.07E+13	1.09E-17	2.75E-20	0	1
251.5	2.01E+13	1.13E-17	2.01E-20	0	1
254.5	2.48E+13	1.16E-17	1.97E-20	0	1
258.5	5.12E+13	1.13E-17	2.11E-20	0	1
261.5	4.88E+13	1.07E-17	2.36E-20	0	1
264.5	1.18E+14	9.75E-18	2.70E-20	0	1
267.5	1.30E+14	8.45E-18	3.25E-20	0	1
271.5	1.19E+14	7.03E-18	3.79E-20	0	1
275.5	1.14E+14	5.49E-18	5.03E-20	0.075	1
279.5	8.29E+13	4.06E-18	5.88E-20	0.082	1
283.5	1.63E+14	2.82E-18	7.00E-20	-0.053	1
287.5	2.39E+14	1.85E-18	8.15E-20	-0.043	1
292	3.81E+14	1.13E-18	9.72E-20	-0.031	0.999
296	3.73E+14	6.54E-19	1.15E-19	-0.162	0.998
300.5	3.56E+14	3.64E-19	1.34E-19	-0.284	0.997
305	4.84E+14	1.98E-19	1.59E-19	-0.357	0.996
310	5.45E+14	1.06E-19	1.87E-19	-0.536	0.995
315	6.41E+14	5.55E-20	2.15E-19	-0.686	0.994
320	6.84E+14	2.80E-20	2.48E-19	-0.786	0.993
325	7.66E+14	1.38E-20	2.81E-19	-1.105	0.992
330	9.47E+14	7.06E-21	3.13E-19	-1.355	0.991
335	8.97E+14	3.29E-21	3.43E-19	-1.277	0.99
340	9.83E+14	1.49E-21	3.80E-19	-1.612	0.989
345	9.28E+14	7.81E-22	4.07E-19	-1.89	0.988
350	9.56E+14	3.22E-22	4.31E-19	-1.219	0.987
355	1.01E+15	1.38E-22	4.72E-19	-1.921	0.986
360	9.05E+14	5.40E-23	4.83E-19	-1.095	0.984
365	1.18E+15	1.00E-50	5.17E-19	-1.322	0.983
370	1.19E+15	1.00E-50	5.32E-19	-1.102	0.981
375	1.07E+15	1.00E-50	5.51E-19	-0.806	0.979
380	1.22E+15	1.00E-50	5.64E-19	-0.867	0.975
385	9.88E+14	1.00E-50	5.76E-19	-0.945	0.969
390	1.30E+15	1.00E-50	5.93E-19	-0.923	0.96
395	1.03E+15	1.00E-50	5.84E-19	-0.738	0.927
400	1.86E+15	1.00E-50	6.02E-19	-0.599	0.695
405	1.87E+15	1.00E-50	5.78E-19	-0.545	0.355
410	2.02E+15	1.00E-50	6.00E-19	-1.129	0.132
415	2.17E+15	1.00E-50	5.65E-19	-0.001	0.059
420	2.15E+15	1.00E-50	5.81E-19	-1.208	0.018
