R_organic	Q2	CS2O3	CSH2O2	CSN2O5	CSHNO2	CSHNO3	CSHNO4	CSHONO	CSCH3OOH	CSHCHO	PHHCHOa	PHHCHOb	CSCH3CHO	PHCH3CHO	CSPAN	CSHOCl	CSClONO2
190	9.50E+12	5.16E-19	6.72E-19	0	0	1.56E-17	1.01E-17	1.27E-18	0	0	0	0	0	0	0	0	5.89E-18
195	9.80E+12	3.90E-19	5.63E-19	0	0	1.15E-17	8.16E-18	1.72E-18	0	0	0	0	0	0	0	0	3.81E-18
200	1.10E+13	3.23E-19	4.75E-19	9.20E-18	0	6.61E-18	5.63E-18	1.97E-18	0	0	0	0	0	0	3.17E-18	0	3.07E-18
205	1.21E+13	3.67E-19	4.08E-19	8.20E-18	0	2.93E-18	3.67E-18	2.20E-18	0	0	0	0	0	0	2.37E-18	0	2.99E-18
210	1.15E+13	5.84E-19	3.57E-19	5.60E-18	0	1.05E-18	2.39E-18	2.14E-18	3.12E-19	0	0	0	0	0	1.65E-18	0	3.29E-18
215	1.63E+13	1.04E-18	3.07E-19	3.70E-18	0	3.56E-19	1.61E-18	1.79E-18	2.09E-19	0	0	0	0	0	1.15E-18	8.70E-20	3.60E-18
220	2.24E+13	1.81E-18	2.58E-19	2.20E-18	0	1.51E-19	1.18E-18	1.46E-18	1.54E-19	0	0	0	0	0	7.70E-19	1.33E-19	3.44E-18
225	2.84E+13	2.96E-18	2.17E-19	1.44E-18	0	8.62E-20	9.32E-19	1.20E-18	1.22E-19	0	0	0	0	0	5.50E-19	1.90E-19	2.86E-18
230	2.82E+13	4.49E-18	1.82E-19	9.90E-19	0	5.62E-20	7.88E-19	8.60E-19	9.62E-20	0	0	0	0	0	3.99E-19	2.53E-19	2.10E-18
235	2.82E+13	6.31E-18	1.50E-19	7.70E-19	0	3.67E-20	6.80E-19	6.00E-19	7.61E-20	0	0	0	0	0	2.90E-19	3.15E-19	1.49E-18
240	3.36E+13	8.24E-18	1.24E-19	6.20E-19	0	2.44E-20	5.79E-19	4.20E-19	6.05E-20	7.50E-22	0.27	0.49	0	0	2.09E-19	3.65E-19	1.06E-18
